GSE75688	B-naive	B-memory	Plasma_cells	CD8	CD4-naive	CD4-memory_resting	CD4-memory_activated	Tfh	Treg	gdT	NK_rest	NK_activated	Monocyte	M0	M1	M2	DC_resting	DC_activated	MC_resting	MC_activated	Eosinophil	Neutrophil
TSPAN6	3.32783651909244	0	0.00761244652772333	0.00649917746945537	0.200272981364273	0	0	0	0	0	0	0	0.131446923801999	0	0	0	0	0	0	0	1.21080434161297	0	0
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	3.75054762522334	0.136554173069791	0.00170218148988047	0	0.0768466757517493	0	0	0.937743604255781	0.251702436252911	0	0	0	0	0	0	0.00541496016955607	0	0	0	0	0.410048439008001	0	0
SCYL3	2.49524328481212	0	0	0.0168792711356216	0.503580600509824	0	0	0	0	0	0	0	0.292646312263412	0	0	0	0	0	0	0	0.171971558492217	0	0
C1orf112	1.87514232053787	0	0.0107253116374937	0.0371617096082572	0.0949039164402631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03547880229672	0	0
FGR	0	0.000763160321974359	0.00217541285545132	0.0279317016604245	0	0	0	0	0	0	0	0	0	0	0	0.000324722403295796	0	0	0	0	0	0	0
CFH	0	0	0	0	0	0	0	0	0	0	0.281532464815217	0	0.197843064278578	0	0	0.00797047631539632	0	0	0	0	0	0	0
FUCA2	1.86665346194303	0	0.00952914538516663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCLC	1.56900808506118	0	0.0108411542527187	0	0.0679108182276589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFYA	2.21227592685884	0	0.0117947508216078	0.0450790000822876	0	0	0	0	0	0	0	0	0.191908959174094	0	0	0	0	0	0	0	0.982655960822802	0	0
STPG1	0.866640538392676	0	0.0134835017723598	0.0381315211786443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390593202954232	0	0
NIPAL3	2.45587223992649	0	0.0158470153551381	0.01239549027195	0.0323916120136204	0	0	0	0	0	0	0	0.0510936506314408	0	0	0	0	0	0	0	1.11376990350527	0	0
LAS1L	3.22074022911989	0	0.00667538480050505	0.0441371023272264	1.21844602502674	0	0	0	0	0	0	0	0.0150248580504459	0	0	0	0	0	0	0	0.580631716046323	0	0
ENPP4	2.17545489783916	0	0.00514087765679481	0.0200896564508816	0.208683976456807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592097545601146	0	0
SEMA3F	0.187875235386824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032504527811892	0	0
CFTR	0	0	0.0111052412455015	0	0	0	0	0	0	0	0	0	0.00613832222773683	0	0	0	0	0	0	0	0	0	0
ANKIB1	1.15708943907465	0	0	0.0309092906035473	0	0	0	0	0	0	0	0	0.33183841271815	0	0	0	0	0	0	0	0.82960103160807	0	0
CYP51A1	3.88686307175938	0.123648932530444	0.00144906223248659	0	0.576993212036015	0	0	0	0.508129053795013	0	0	0	0	0	0	4.36149817349609e-05	0	0	0.42755958765716	0	0	0	0
KRIT1	2.4446591417736	0	0	0.0348660163987662	0.657179660607515	0	0	0	0	0	0	0	0.0546270795211935	0	0	0	0	0	0	0	0.334748846487482	0	0
RAD52	1.39616682418012	0	0	0.0241923118889354	0	0	0	0	0	0	0	0	0.395010791539449	0	0	0	0	0	0	0	0.388502271393372	0	0
MYH16	0.241504695602849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAD	1.04964460879448	0	0.0077209702938768	0	0	0	0	0	0.387049748621724	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAP3	3.5345094730892	0	0.00415643831388988	0.0607592888724864	1.48500622809597	0	0	0	0	0	0	0	0.0448549058425997	0	0	0	0	0	0	0	0.671017023947549	0	0
CD99	3.48844991576714	0	0.00976961149462627	0	0.0940405149022578	0	0	0.398214109611487	0.511910208518971	0	0	0	0	0	0	0	0	0	0.574032752591116	0	0	0	0
HS3ST1	0.248217044104049	0	0.00170209445484637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0331393721014212	0	0
AOC1	0.128742993983096	0	0.00583950462143382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000665984350695142	0	0	0	0	0	0	0
HECW1	0.0797139106447508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000578360128477269	0	0
MAD1L1	1.32339645336875	0	0.00629526061015673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LASP1	1.41306732589959	0	0.00816069416229259	0	0	0	0	0	0.609473894816127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX11	2.17703941519659	0.0521602490383879	0	0	0.207331108060715	0	0	0.552272649539501	0.800126007109872	0	0	0	0	0	0	0.00219157520921987	0	0	0	0	0	0	0
TMEM176A	0.604351542163373	0	0	0	0.510178837995588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33783430011313	0	0
M6PR	3.41382316374861	0.187145009324322	0.003321826066262	0	0.373144848808684	0	0	0.94405007287173	0.333805436643344	0	0	0	0.0101644852636748	0	0	0	0	0	0	0	1.30304490410104	0	0
KLHL13	0.219632653050292	0	0.00126994909225244	0	0.82208377357699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP26B1	0.0313772407613291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICA1	2.95601742980473	0	0.00251442862410869	0.0305521733152786	0	0	0	0	0	0	0	0	0.380425690532104	0	0	0	0	0	0	0	0.353309489499364	0	0
DBNDD1	1.5683786105917	0	0	0	0.230636678165514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALS2	1.28552749557864	0	0.0161536440185738	0	0.168038772598442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8674848727441	0	0
CASP10	0	0	0	0	0	0	0	0	0	0	0.119148911223451	0	0.185718288662545	0	0	0.000815133683693116	0	0	0	0	0	0	0
