estimate_purity	stromal_purity	immune_purity	tissueType	estimate_score	stromal_score	immune_score
BC01_Pooled	0.867446980459426	0.74823961964931	NA	gct	-2575.77302490231	-588.156533903631	-3163.92955880594
BC02_Pooled	0.832446276423441	0.657244376735559	0.941394945958323	gct	-1968.36673967406	53.1759003344031	-1915.19083933966
BC03_Pooled	0.813062054415199	NA	0.668718635583823	gct	-1677.6834846755	2044.13307713973	366.449592464222
BC03LN_Pooled	0.785717007651868	NA	0.529367189794195	gct	-1300.55382639876	2520.48213684693	1219.92831044817
BC04_Pooled	0.764695581150952	0.45702472016246	0.649075530602689	gct	-1021.99820205536	1517.71042811894	495.712226063572
BC05_Pooled	0.86968086976404	0.771513401064725	NA	gct	-2620.48123488418	-752.051030577631	-3372.53226546181
BC06_Pooled	0.576305395382717	0.477367258382235	0.297454939919312	gct	1082.33628249301	1364.48797281285	2446.82425530586
BC07LN_Pooled	0.727142450494445	NA	0.390956402651439	gct	-541.630709052966	2516.9122639968	1975.28155494383
BC08_Pooled	0.700481697901819	0.535101114918304	0.613327455818157	gct	-214.260691083589	935.064499021606	720.803807938017
BC09_Pooled	0.618557436840726	NA	NA	gct	673.969194655859	3497.96523844713	4171.93443310299
BC10_Pooled	0.791578291995614	0.689765366584165	0.904883613815292	gct	-1380.83635125124	-174.991945658343	-1555.82829690958
BC11_Pooled	0.657803937571086	NA	NA	gct	266.294604302171	2928.33398990492	3194.62859420709
BC07_Tumor	0.563621091013231	NA	NA	gct	1201.27889680684	2128.7535985831	3330.03249538993
