BC01_Pooled	BC02_Pooled	BC03_Pooled	BC03LN_Pooled	BC04_Pooled	BC05_Pooled	BC06_Pooled	BC07LN_Pooled	BC08_Pooled	BC09_Pooled	BC10_Pooled	BC11_Pooled	BC07_Tumor
TSPAN6	1.93458908088635	5.39041371231002	3.8213962444043	3.47717914218072	6.92843410123082	6.39453524802858	5.57701042648066	5.00888538522865	6.60701157667957	4.72154092341927	7.98482593603404	4.50725795051396	5.98579815861068
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0.475883054499371
DPM1	5.93921753463096	6.10712450832595	6.15143422652952	6.36563601427778	6.78059276268675	6.11767906093642	6.43820326902496	5.21188080875649	6.00232170220136	6.21437890490433	6.00287558632704	5.9986641952576	4.95061197303784
SCYL3	5.57788195949764	3.4489517636851	3.81455042346181	3.21065261344604	3.70941789678646	3.44207583213251	3.27695470042185	4.4331135331286	5.37037891939219	3.43265110616565	5.42688402572644	2.94442600486683	4.67846200427132
C1orf112	2.64207947151952	3.57125673667762	2.18562262020451	4.05711697079836	4.11330941282992	2.44768091298287	4.91559444198001	3.62554026125335	4.23714008153857	4.53868141367122	4.74152921489548	4.78228758252021	3.84088925890451
FGR	0	0.597485334362713	0	1.68015121612483	1.68015121612483	0.120249842418122	1.67893864893017	0.432137124528916	0.286881147788162	4.29249861802472	0	3.4032677223393	2.71487952999928
CFH	0.471087387897722	0	0	0	2.07355660697008	0	5.48587264617044	2.29459247433644	4.32799130176898	5.04294733619306	0	3.38053765601783	5.70614797064899
FUCA2	5.53121348624259	5.45009457295193	3.97661038584725	2.9327008313813	6.9031402670051	5.98202823839808	4.27408959434279	3.06761224322082	2.20572934954997	3.05698362868071	2.5652222063808	5.12569560348382	4.17944980363947
GCLC	3.71149490665009	3.28767686661905	3.45296030959397	3.55963299782529	3.86759238663019	4.30832502672235	2.35722715865862	3.2405491812048	1.94831331484848	2.74846123300404	2.42884329880387	2.7515955554051	3.70835704475924
NFYA	3.46587402974884	4.30479182557155	1.76537153633499	4.82895179095598	4.77139804428119	3.56971542062544	4.3911543426872	5.15140300172965	5.91992675252213	3.69860316840869	5.56742375770728	3.14084156628279	4.62500066704152
STPG1	2.60023315128295	0.930082245330546	0	3.39859242709253	2.58699563736535	1.03291462247274	1.67893864893017	3.24851148230033	1.75422971346365	2.91515313836987	3.58764194407266	1.68430086915129	1.79509556250344
NIPAL3	6.55366768848306	4.20422500639591	2.62401088651498	3.24897848725412	3.66596992951834	3.2888128470249	4.50725795051396	5.23834594260824	5.03724704326877	4.05678359239344	6.07283138609569	5.88581837198992	4.91691754345023
LAS1L	5.00564182170396	5.56573776428469	6.45166762879585	5.6686341063897	5.54542193420114	5.29353177830083	6.04274534407425	5.7195204597068	5.69865658948916	5.61640746546138	6.40841139889906	5.19867547646228	4.59785201247903
ENPP4	3.14291607529399	3.64003353684606	2.70920578877765	3.18702462669238	3.66893951716266	3.79069185027112	3.36300929466425	2.83902931660879	3.51877721409406	3.89089561760031	4.46748014741084	1.81210323695577	2.65138292640961
SEMA3F	1.20452600054293	0.463863864952558	0	0	0.420575682820274	0.351802263040046	0.83685634894975	0	0	0	0.77009714695149	0.471087387897722	1.03101508955725
CFTR	0	0	0	0	0	0	0.229351279577505	2.27477773890193	0	0	0.160523079717024	0	0.020932941335728
ANKIB1	3.88023341148717	3.72212969271974	0	2.79988433114311	2.86195536414487	4.63249194117894	3.64358982148627	3.00519266922032	5.64207947151952	4.21418459750906	3.49037264977504	3.40745734352352	3.16974002868215
CYP51A1	7.04748469809735	6.79969507755503	6.77136756792052	6.01131328118524	6.4837041764256	6.19457503839274	5.4294872153693	5.8766680556439	5.71739170455786	4.11308497115672	6.05484847699562	4.61389427577792	6.1970276235808
